질문ID,페르소나UUID,페르소나,질문,질문유형,답변,사용한 API,사용한 서빙 데이터(답변 명시 기준),판정,실측 모델,보완점(gap)
42134743-q3,4213474300404cb9944514f030654d9d,"35세 여자 · 구로구 · 전직 그 외 기획 및 마케팅 사무원, 현재 구직중",이번 주말에 집 근처에서 가볍게 둘러볼 만한 전시나 문화행사 있는지 궁금해,일정·목록형,"이번 주말(8/15~16)에 관람 가능한 서울 시내 전시를 찾았어요. 다만 ""집 근처""를 좁히려면 사시는 자치구를 알려주셔야 해서, 우선 서울 전역 기준으로 지역별로 정리했습니다.

**종로구 (광화문·삼청동 일대)**
- 국립현대미술관 서울관 — 《MMCA 다원예술 2026: 탐정의 시간》(~12/6), 《그래도 해보던 날들》(~8/30), 《MMCA 필름앤비디오 2026》(~12/20)
- 국립민속박물관 — 《가나다락 - 글놀이 말놀이》(~8/30)

**용산구**
- 국립중앙박물관 — 《이슬람 미술 찬란한 빛의 여정》(~10/11)
- 숙명여대 정영양자수박물관 — K-뮤지엄 순회전 《이음-확장》(~12/30)

**송파구**
- 소마미술관 — 《이승택: 조각의 바깥에서》(~9/6), 조각 체험 상설전 《조각이 꿈+틀》(~2027/2)

**서초구**
- 예술의전당 한가람디자인미술관 — 《페르난도 보테로: 형태의 미학》(~8/30) ※ 8월 말 종료라 이번 주말이 막바지예요

**성북구**
- 최만린미술관 《집: 두 조각가를 잇다》(~11/28), 김중업 건축문화의 집 《이정윤: 노래하는 집》(~11/21)

**그 외**
- 서대문구 자연사박물관 《봄, 여름, 가을, 겨울 - 흔들리는 계절》(~8/30)
- 마포구 한국영화박물관 《제목전(展)》(~8/29)
- 강서구 롯데백화점 김포공항점 《킹 오브 킹스 전시》(~8/31)

곧 끝나는 전시(보테로전, MMCA 《그래도 해보던 날들》 등 8월 말 종료)가 여럿이라, 이번 주말이 좋은 타이밍이에요.

사시는 자치구(예: 마포구, 강동구 등)를 알려주시면 전시 외에 공연·축제까지 포함해서 그 동네 주말 행사만 다시 뽑아드릴 수 있고, 무료 행사만 골라볼 수도 있습니다.",search_products → describe_product → run_pattern → run_pattern,(미표기),되물음,cli-default,
43ff819f-q1,43ff819f8dbf4a50837431ffd084f0c7,59세 남자 · 강남구 · 그 외 화학공학 기술자 및 연구원,"요즘 강남 미세먼지가 심한 날이 많던데, 한강 산책 나가도 괜찮을 만큼 대기질이 좋은 날이 언제인지 궁금하다.",추이·이력형,"이제 최근 일주일의 데이터를 정리해서 보여드리겠습니다. 강남 지역의 미세먼지 현황을 분석했습니다.

## 강남 지역 최근 대기질 현황

**데이터 기준:** 2026년 7월 10일 ~ 8월 10일

### 한강 산책하기 좋은 날 (대기질 우수)

| 날짜 | PM10 평균(㎍/㎥) | PM2.5 평균 | 평가 |
|------|------------------|----------|------|
| **7월 26일** | 8-14 | 6-8 | **매우 좋음** ✅ |
| **7월 27일** | 18-19 | 8-9 | 좋음 ✅ |
| **7월 29일** | 14-16 | 7-10 | 좋음 ✅ |
| **7월 30일** | 14-17 | 8-12 | 좋음 ✅ |
| **7월 31일** | 16-17 | 10-12 | 좋음 ✅ |

### 미세먼지가 심했던 날 (피해야 할 날)

| 날짜 | PM10 평균 | 평가 |
|------|----------|------|
| 7월 16일 | 38-42 | **나쁨** ❌ |
| 8월 1일 | 34-35 | **나쁨** ❌ |
| 7월 24일 | 37 | **나쁨** ❌ |

### 현재 상황
- **8월 10일(오늘)**: 제한적 데이터만 있습니다
- **최근 추세**: 7월 말 ~ 8월 초에 대기질이 악화했다가 최근 회복 중

**추천:** 가능하면 **7월 26-31일** 같은 날씨를 목표로 산책 계획을 세우세요. 통상 PM10이 15 이하, PM2.5가 10 이하일 때 호흡기 건강을 걱정하지 않고 야외활동을 할 수 있습니다.",search_products → describe_product → preview_product → query_product,(미표기),데이터없음,claude-haiku-4-5-20251001,미래 대기질 예측 데이터 부재 (과거 패턴만 제시함)
43ff819f-q2,43ff819f8dbf4a50837431ffd084f0c7,59세 남자 · 강남구 · 그 외 화학공학 기술자 및 연구원,"주말에 집사람이랑 한강공원 쪽으로 나들이 가려는데, 비 안 오고 날씨 맑을 날이 언제쯤인지 알고 싶다.",기타,"죄송하지만, 서울 데이터 MCP의 날씨 정보에는 **한강공원에 대한 데이터가 없습니다**. 

현재 서울시 데이터 패턴 서비스의 날씨 예보는 서울시 행정동 단위로 제공되고 있으며, 한강공원 같은 특정 장소에 대한 별도 데이터는 포함되어 있지 않습니다.

다음과 같은 방법으로 날씨 정보를 확인하실 수 있습니다:
- **기상청 공식 웹사이트** (weather.go.kr)에서 한강공원 인근 지역의 예보 조회
- 한강공원이 위치한 **행정동** (예: 송파구 잠실동, 서초구 반포동, 마포구 망원동 등)의 날씨 정보는 서울 데이터에서 조회 가능

주말 정확한 날짜를 알려주신다면, 해당 지역의 행정동 날씨 정보를 조회해 도움을 드릴 수 있습니다.",list_products → search_products → describe_product → describe_product → describe_product → query_product → query_product → preview_product,(미표기),데이터없음,claude-haiku-4-5-20251001,"특정 장소 단위 날씨 데이터 부재, 행정동 단위만 제공"
43ff819f-q3,43ff819f8dbf4a50837431ffd084f0c7,59세 남자 · 강남구 · 그 외 화학공학 기술자 및 연구원,"출근길에 강남 큰길이 유독 막히는 시간대가 있던데, 몇 시쯤 나가야 덜 막힐지 궁금하다.",예보·미래형,"데이터를 확인해보니 도로 링크별 시간대 교통 정보가 있습니다. 다만 **데이터에 도로명이나 지역명 정보가 없어서**, ""강남 큰길""이 정확히 어떤 도로인지 특정하기 어렵습니다.

강남의 주요 도로를 구체적으로 말씀해주면 더 정확한 답변이 가능합니다. 예를 들어:
- **강남대로**
- **테헤란로**  
- **영동대로**
- **한남대로**
- **역삼로**

등 중에 어느 도로를 말씀하시는지 알려주시면, 그 도로의 시간대별 평균 속도와 통행시간을 조회해서 **가장 소통이 잘 되는 시간대**를 알려드릴 수 있습니다.",search_products → describe_product → preview_product,(미표기),되물음,claude-haiku-4-5-20251001,도로명·지역명 정보 미제공
4af810d4-q1,4af810d45c0f455fabfa1b16272a1224,22세 남자 · 송파구 · 전시 및 시설 견학 안내원,"요즘 우리 전시관 근처에서 문화행사가 겹치는 날이면 관람객이 확 느는 것 같은데, 어떤 날 사람이 몰릴지 미리 예측할 만한 데이터가 있을까?",예보·미래형,"좋은 소식입니다. **행사 일정과 방문객 수의 상관관계를 분석할 수 있는 데이터가 있습니다.**

## 🎯 핵심 데이터 3가지

| 데이터 | 용도 | 주요 정보 |
|--------|------|---------|
| **citydata_ppltn_x_culture_daily** | 행사×유동인구 상관관계 | 동네·날짜별로 행사 개수 vs 방문객 수의 직접 비교 가능 |
| **culture_event_schedule** | 향후 행사 예측 | 42,842개 행사의 확정 일정 (날짜·장소·무료/유료) |
| **culture_activity_by_dong** | 지역별 행사 밀도 | 426개 동네별 행사·전시·축제 분류된 활동량 |

## 📊 실제로 할 수 있는 것

1. **과거 데이터로 패턴 학습**: citydata_ppltn_x_culture_daily에서 ""행사 5개 이상 있는 날 vs 행사 없는 날"" 방문객 수 비교
2. **향후 혼잡도 예측**: culture_event_schedule에서 앞으로 한 달 행사를 보고, 과거 패턴을 적용해 ""이 날에는 인파가 몰릴 것"" 예측
3. **동네별 특성 파악**: culture_activity_by_dong으로 ""우리 근처는 전시 많은 지역인가, 축제 중심인가"" 확인

## ⚠️ 데이터에 없는 것
- 당신의 구체적인 전시관/박물관 이름이나 위치가 없으면 그 장소만 특화된 데이터는 어렵습니다
- 실시간 현황(오늘 얼마나 왔는가)은 없고, 집계된 과거 데이터만 있습니다

**전시관 이름이나 위치를 알려주시면, 그 근처에서 어떤 행사들이 예정되어 있고, 과거에 그 시기에 방문객이 얼마나 몰렸는지 구체적으로 조회할 수 있습니다.**",search_products → describe_product → describe_product → describe_product → describe_product → describe_product → describe_product → describe_product → describe_product → describe_product → describe_product,"citydata_ppltn_x_culture_daily, culture_activity_by_dong, culture_event_schedule",정상,claude-haiku-4-5-20251001,
4af810d4-q2,4af810d45c0f455fabfa1b16272a1224,22세 남자 · 송파구 · 전시 및 시설 견학 안내원,"주말에 단체로 견학 오는 분들이 지하철 타고 오시는 경우가 많던데, 우리 시설 근처 역에서 얼마나 걸리고 혼잡한 시간대는 언제인지 알 수 있을까?",시간대·패턴형,"사용자님의 시설 위치를 먼저 확인해야 정확한 답변을 드릴 수 있습니다. 

**시설이 정확히 어느 지역/역 근처에 있는지 알려주시면**, 서울 데이터 MCP 도구를 통해 다음 정보를 조회해드립니다:
- 가장 가까운 역까지의 거리 및 이동 시간
- 주말 시간대별 혼잡도
- 연결된 노선 정보

예를 들어 ""강남역 근처"", ""신도림역 인근"" 같은 식으로 위치를 알려주시거나, 정확한 건물 주소/역명을 말씀해주세요.",(없음),(미표기),되물음,claude-haiku-4-5-20251001,
4af810d4-q3,4af810d45c0f455fabfa1b16272a1224,22세 남자 · 송파구 · 전시 및 시설 견학 안내원,"비 오거나 미세먼지 심한 날엔 실내 동선으로 안내를 바꾸는 게 나을 것 같은데, 서울 날씨나 대기질 패턴을 미리 확인할 방법이 있을까?",예보·미래형,"좋은 소식입니다! 서울 데이터에서 날씨와 대기질 정보를 모두 찾을 수 있습니다.

**사용 가능한 데이터:**

1. **강수(비) 예보**
   - `weather_grid_current_outlook` - 서울 격자별 강수 예보 및 확률
   - `weather_grid_precipitation_window` - 강수가 예상되는 시간대
   - 실행 가능 패턴: ""강수가 있는 격자는 어디인가?"", ""강수확률이 높은 격자는?""

2. **미세먼지 데이터**
   - `citydata_air_daily` - 일별 대기질 추이 (미세먼지 PM2.5/PM10)
   - 실행 가능 패턴: ""최근 미세먼지 나쁜 날이 가장 잦은 지점은?"", ""특정 날 미세먼지가 급등한 지점은?""

3. **통합 데이터**
   - `citydata_ppltn_x_weather_hourly` - 동네별 혼잡도 × 날씨 연동 데이터

**persona-qa에 적용 방안:**

다음 단계로 구체적으로 확인할 수 있는 것들:
- 어느 장소(관광지, 역 등)를 기준으로 강수/대기질 데이터가 필요한지
- 어느 시간 단위(현재 예보, 일일 추이)로 동선을 바꿀지
- 임계값(예: 강수확률 X% 이상, 미세먼지 Y 수준 이상)을 어떻게 설정할지

이 정보들을 정의하면 실제로 쿼리해서 동적 경로 결정 로직을 만들 수 있습니다. 필요하신 부분이 있으신가요?",search_products,"citydata_air_daily, citydata_ppltn_x_weather_hourly, weather_grid_current_outlook, weather_grid_precipitation_window",정상,claude-haiku-4-5-20251001,
4ea7a7a0-q1,4ea7a7a0bc5b44d480f2780ca6dd8cda,22세 여자 · 영등포구 · 해외 영업원,"영등포에서 회사까지 출퇴근할 때 버스가 유독 막히는 시간대가 있는 것 같은데, 요일별·시간대별로 언제가 제일 덜 막히는지 알 수 있을까?",시간대·패턴형,"3주치(7/20~8/10) 영등포동(영등포역 일대) 시간대별 버스 혼잡 이력을 요일×시간대로 집계했습니다. 결론부터 말씀드리면 **출근은 6시대에 하면 어느 요일이든 여유롭고, 7~9시에 나가야 한다면 목·금요일이 가장 낫습니다. 퇴근은 요일 불문 18시대가 최악이라 17시 이전 또는 19시 이후로 피하는 게 좋고, 요일 중에는 화요일 저녁이 가장 무난합니다.**

## 평일 출퇴근 시간대 혼잡도 (버스 차내 혼잡도 평균, 3.5 미만=여유 / 4.5 이상=혼잡)

| 시각 | 월 | 화 | 수 | 목 | 금 |
|------|-----|-----|-----|-----|-----|
| 06시 | 3.9 | 3.1 | 3.7 | 3.1 | 4.1 |
| 07시 | 4.7 | 4.8 | 5.0 | 5.0 | 4.4 |
| 08시 | 5.0 | **5.7** | 5.1 | 4.6 | 4.7 |
| 09시 | 4.6 | 4.8 | 5.2 | **4.2** | 4.7 |
| 17시 | 4.6* | 4.4 | 4.6 | 4.6 | 4.5 |
| 18시 | 4.8* | 5.0 | 4.9 | **5.6** | **5.7** |
| 19시 | 4.6* | 4.3 | 4.7 | **4.0** | 4.5 |
| 20시 | 3.1* | 4.6 | 3.9 | 3.0 | 4.4 |

(*월요일 저녁은 관측일이 하루뿐이라 참고만 하세요)

**패턴 정리:**
- **출근**: 오전 피크를 통틀어 화·수요일이 가장 붐비고(특히 화요일 8시대가 아침 최악), 목·금요일 아침이 상대적으로 가장 덜 붐빕니다. 6시대는 모든 요일에서 ""여유"" 수준이고, 10시가 넘으면 다시 풀립니다.
- **퇴근**: 18시대가 매 요일 저녁 피크의 정점이며 목(5.6)·금(5.7)요일이 가장 심합니다. 19시만 돼도 한 단계 내려가고(특히 목요일 19시는 4.0), 20시 이후에는 월·목요일 기준 ""여유"" 수준까지 떨어집니다. 저녁 전체로 보면 화요일이 가장 덜 붐비고 금요일이 가장 붐빕니다.
- 참고로 주말은 통근 피크 대신 낮~저녁(토 17시대 6.7, 일 18시대 6.7)에 혼잡이 몰립니다.

**데이터 한계도 말씀드립니다:**
- 이 수치는 서울시 버스 **차내 혼잡도(승객 붐빔)** 지표입니다. 도로가 막히는 정도(버스 속도)를 요일·시간대별로 볼 수 있는 데이터는 현재 서울 데이터 서비스에 영등포 지역 매핑이 가능한 형태로는 없습니다 — 도로 링크별 속도 프로파일 제품이 있긴 하나 링크 위치 정보가 없어 영등포 구간을 특정할 수 없었습니다. 다만 차내 혼잡도는 통근 수요 피크와 같이 움직이므로 ""덜 붐비는 시간대"" 판단에는 유효한 대리 지표입니다.
- 이력이 3주(요일별 2~3일)뿐이고 7월 말~8월 초 휴가철이 포함되어 있어, 평상시 패턴과 다소 다를 수 있습니다. 또 7/30 오후~8/1 오전 구간에 관측 공백이 있습니다.
- 분석 범위는 영등포역 일대인 **영등포동** 기준입니다. 출발지가 영등포본동·당산동 등 다른 동이면 말씀해 주세요 — 같은 방식으로 뽑아드릴 수 있습니다.",search_products → describe_product → search_products → preview_product → describe_product → query_product → query_product → describe_product,(미표기),정상,cli-default,버스 속도/도로 정체도 데이터의 영등포 지역 매핑 부재
4ea7a7a0-q2,4ea7a7a0bc5b44d480f2780ca6dd8cda,22세 여자 · 영등포구 · 해외 영업원,"요즘 소금빵 맛집이 하나둘 생기는 동네들 보면 뜨는 상권 같은 느낌이 드는데, 영등포 근처에 베이커리 하기 좋은 상권이 따로 있는지 궁금해",일정·목록형,"확인 끝났습니다. 결과를 정리해 드릴게요.

## 결론: 영등포 근처라면 **영등포동(타임스퀘어 일대)**과 **여의동**이 데이터상 가장 유력하고, 가성비 대안은 **당산·양평1동**입니다

먼저 한계부터 말씀드리면, 이 데이터에서 지역별 분석은 '식품' 업종(중분류)까지만 내려가고, '제과점'만 떼어낸 동네별 데이터나 매출 데이터는 없습니다. 제과점 자체는 서울 전체 단위로만 집계돼 있어요. 그래서 ""빵집이 뜨는 동네""의 대리 지표로 **동네별 식품업 유입 활력 + 장소별 구매력**을 조합해 봤습니다.

### 1. 영등포구 안에서 식품업이 몰리고 있는 동네 (인허가 기준)

| 동 | 식품 영업 중 | 최근 1년 개업 | 개업률 |
|---|---|---|---|
| **영등포동** | 1,905곳 | **792건** | **41.6%** |
| **여의동** | 2,787곳 | 581건 | 20.8% |
| 양평1동 | 518곳 | 85건 | 16.4% |
| 당산1동 | 823곳 | 128건 | 15.6% |
| 문래동 | 1,012곳 | 141건 | 13.9% |
| 대림1동 | 1,179곳 | 109건 | 9.2% |

서울 식품업 평균 개업률이 15.5%인데, **영등포동은 41.6%로 평균의 2.7배** — 말씀하신 ""가게가 하나둘 생기는 뜨는 상권"" 신호가 데이터로도 뚜렷합니다. 전업종 기준으로도 영등포동은 개업률 26.6%로 구 내 1위이고, 여의동은 구 상권의 22.8%를 차지하는 최대 상권입니다.

### 2. 구매력 (2026-08-09 기준)
- **영등포 타임스퀘어**: 유동인구 1인당 소비 지수가 서울 주요 장소 121곳 중 **12위**, 영등포구 내 1위. 사람이 실제 지갑을 여는 상권입니다.
- **여의도**: 유동인구는 7만 명대로 압도적이지만 1인당 소비 전환은 66위 — 출퇴근 통과 인구가 많아, 오피스 수요(평일 점심·간식)를 노리는 전략이 맞는 곳입니다.

### 3. 제과점 업태 자체의 흐름 (서울 전체)
제과점영업은 현재 4,228곳 영업 중인데 최근 1년 개업이 1,031건 — 영업 재고의 24%가 1년 내 신규일 만큼 유입이 활발한 업태입니다. 다만 누적 16,711곳 중 25%만 살아남은 회전 빠른 시장이기도 합니다.

### 주의할 점
- 영등포동은 유입만큼 물갈이도 극심합니다. 식품 누적 인허가 12,945건 중 영업 중은 1,905곳(잔존율 14.7%)뿐이라, 임대료 대비 버티는 힘이 필요한 상권입니다.
- 영등포구 식품업 전체는 최근 12개월 순증이 거의 0이었지만, **2026년 3월부터 5개월 연속 순증**(+21 → +39 → +9 → +31 → +16)으로 회복 국면에 들어섰습니다.

요약하면: 검증된 유동·구매력을 원하면 영등포동(타임스퀘어 배후), 오피스 고정 수요를 원하면 여의동, 경쟁 강도를 낮추면서 유입 상승세에 타려면 당산1동·양평1동이 데이터가 가리키는 후보입니다. 소금빵 같은 아이템 단위 트렌드나 임대료·매출 데이터는 이 데이터셋에 없어서 판단에 포함하지 못했습니다.",search_products → search_products → list_products → describe_product → preview_product → search_products → search_products → describe_product → describe_product → query_product → run_pattern → run_pattern → preview_product → run_pattern → query_product → run_pattern → run_pattern,(미표기),정상,cli-default,"제과점/베이커리 동별 상세 데이터, 실제 매출·수익성·임대료 정보 부재"
4ea7a7a0-q3,4ea7a7a0bc5b44d480f2780ca6dd8cda,22세 여자 · 영등포구 · 해외 영업원,"주말에 역사 여행 다니는 걸 좋아하는데, 서울에서 요즘 어떤 역사 관련 전시나 문화 행사가 열리고 있는지 한눈에 확인할 수 있으면 좋겠어",일정·목록형,"서울시 문화행사 데이터(2026-08-10 기준, 서울 문화행사 통합 일정)에서 지금 진행 중이거나 곧 시작하는 행사를 조회해서, 역사 테마만 추려봤습니다. 지금 서울에서 역사 관련 전시·행사가 꽤 풍성한 편이고, 특히 **8월 말에 끝나는 전시가 여러 개라 다음 한두 주말이 적기**입니다.

## 곧 끝나요 (8월 안에 종료)

| 행사 | 장소 | 기간 |
|---|---|---|
| [덕수궁] 한불수교 140주년 특별전 《반화, 상서로운 마음》 | 덕수궁 돈덕전 (중구) | ~8/30 |
| [한성백제박물관] 기증자료 특별전 《기록 & 역사Ⅰ: 백제 역사의 실마리, 한원(翰苑)》 | 한성백제박물관 기획전시실 (송파구) | ~8/30 |
| 국가무형유산전수교육관 12공방 연합특별전 《공들임(工-DREAM)》 | 전수교육관 2층 (강남구) | ~8/21 |
| 문화역서울284 내부 공간투어 (옛 서울역사) | 문화역서울284 (중구) | 8월 회차 ~8/16 |
| [운현궁] 하우스뮤지엄 《겹의 시간》 | 운현궁 노락당 (종로구) | 8/17~8/23 |

## 여유 있게 볼 수 있는 전시

- **[서울역사박물관] XR 전시 《걷는 순간 역사가 펼쳐집니다》** — 종로구, ~10/31
- **[서울역사박물관] 《여민공수(與民共守): 백성과 함께 지킨다》** — 서울역사박물관 + 한양도성박물관 동시 개최, ~10/25
- **[서울역사박물관] 《서울도시계획 대관람》** — 8/14 개막, ~11/8 (이번 주말부터 볼 수 있어요)
- **[공평도시유적전시관] 《태화관_시간을 잇는 공간》** — 종로구, ~2027-03-07
- **[서소문성지 역사박물관] 한불수교 140주년 《THE FACE: 마주하다》** — 중구, ~9/6
- **[청계천박물관] 《청계천의 별이 된 노무라 모토유키》** — 성동구, ~10/11
- **[서울생활사박물관] 《대학에서 우리는》** — 노원구, ~9/27
- **[은평역사한옥박물관] 《1.5m의 우주》** — 은평구, ~9/6
- **[서울우리소리박물관] 《다시, 아리랑》** — 종로구, ~2027-05-30
- **[문화공간이육사] 《육사답사》** — 성북구, ~11/14
- **[이한열기념관] 6월 민주항쟁 39주년 《이런 양심수》** — 마포구, ~11/30
- **[서울기록원] 《기록으로 산책하기_서울의 공원》** — 은평구, ~9/29

## 체험형 (역사 답사·프로그램)

- **경복궁 경회루·향원정 특별관람** / **집옥재 작은 도서관 개방** — ~10월 말
- **[한성백제박물관] 미션 탐방 《한원 속 백제를 찾아라!》**(~8/30), **《읽고 쓰는 백제사 Season2》**(~8/31) — 송파구
- **[서울백제어린이박물관] 백제왕도 달빛기행·달빛 캠프** — 몽촌토성 일대, ~11월
- **한강이야기여행 《한강역사탐방》** — 한강공원 11개 권역, ~11/15
- **남산골한옥마을 전통체험 《예술가의 시간》** — 중구, ~10/25
- **[서울무형유산교육전시장] 명주실 전통염색 일일체험** — 종로구, ~8/29

동선으로 보면 **종로·중구**(서울역사박물관 → 공평도시유적전시관 → 덕수궁 돈덕전 → 서소문성지)가 한 코스로 묶기 가장 좋고, **송파**는 한성백제 테마로 반나절 코스가 됩니다.

참고로 이 데이터에는 유·무료 표기가 소스마다 달라서 위 목록에는 요금 정보가 빠져 있고, 상세 시간·예약 여부는 각 기관 안내를 확인하는 게 안전합니다. 특정 구나 특정 주말 날짜로 좁혀서 다시 뽑아드릴 수도 있어요.",search_products → describe_product → preview_product → run_pattern → run_pattern → run_pattern → run_pattern → run_pattern,(미표기),정상,cli-default,
502cc05e-q1,502cc05e480b45c7b124506cf143341d,53세 남자 · 도봉구 · 육군 부사관,"도봉구에서 은퇴하고 나서 조그맣게 장사 하나 해볼까 싶은데, 요즘 이 동네 상권에서 어떤 업종이 잘되는지 알아볼 방법 없나?",경로·방법형,"도봉구 상권 관련 서울시 데이터(사업장 인허가·개업/폐업 스톡 기준)를 조회한 결과입니다. **매출액 데이터 자체는 없어서**, ""장사가 잘된다""는 매출이 아니라 업소 수·개업률·순증(개업-폐업) 지표로 짚어드립니다.

## 1. 도봉구에 이미 많은 업종 (사업장 수 비중)
1. 일반음식점 41.2%
2. 미용업 17.1%
3. 휴게음식점(카페·분식 등) 12.2%
4. 즉석판매제조가공업(반찬·베이커리 등) 7.3%
5. 건강기능식품판매업 3.3%, 축산판매업 3.2% 순

→ 이미 포화 상태에 가깝습니다. 특히 음식점 비중이 압도적입니다.

## 2. 2025년 업종별 ""순증/순감"" (경쟁 강도 진단, stock 100+ 업종만)

| 업종 | 개업 | 폐업 | 순증감 | 교체율(폐업/재고) |
|---|---|---|---|---|
| 식품(음식점) | 787 | 894 | **-107** | 19.5% |
| 의료 | 57 | 91 | -34 | 8.3% |
| 미용 | 83 | 77 | +6 | 6.7% |
| 산업(도소매 등) | 895 | 607 | +288 | 5.9% |
| 문화(학원·오락 등) | 120 | 93 | **+27** | 5.5% |
| 동물 | 8 | 4 | +4 | 3.7% |

- **음식점은 개업도 많지만 폐업이 더 많아 순감(-107), 교체율 19.5%로 서울 평균(약 10~13%대)보다 훨씬 높습니다.** 회전이 빠른 만큼 경쟁도 치열한 레드오션입니다.
- 반대로 **미용업, 문화(학원·오락·스포츠 등)**는 규모는 작지만 꾸준히 순증하고 교체율(폐업 위험)도 낮은 편 — 상대적으로 안정적인 흐름입니다.
- '산업' 카테고리 순증이 가장 크지만, 이 구간은 통신판매업 등 온라인 도소매 비중이 커서 실제 매장형 창업과는 성격이 다를 수 있습니다(주의).

## 3. 상권 입지 (동네별)
도봉구 상권은 **창1동(도봉구 상권의 36.6%, 활성 2,841곳, 최근 1년 개업률 14%)**에 가장 몰려있고, 방학1동(24.5%, 9.1%)·쌍문1동(21%, 6.6%)·도봉1동(16.9%, 8.5%) 4개 동이 사실상 도봉구 상권의 거의 전부입니다. 나머지 동(쌍문2·3·4동, 창2~5동, 방학2·3동, 도봉2동)은 상권 규모가 미미합니다.

## 요약
- 음식점은 이미 많고 회전(폐업)도 빨라 신규 진입 리스크가 큽니다.
- 상대적으로 순증세면서 폐업률 낮은 업종은 미용업, 문화(학원·오락)계열입니다.
- 상권을 본다면 창1동이 규모·활력 모두 1위입니다.

다만 이 데이터에는 실제 매출/수익성, 임대료, 유동인구 상세 정보는 포함돼 있지 않으니, 최종 결정 전 현장 답사와 임대료 등 추가 확인이 필요합니다.",search_products → describe_product → describe_product → run_pattern → query_product → run_pattern → search_products → describe_product → run_pattern → run_pattern → run_pattern,(미표기),정상,claude-sonnet-5,매출액·수익성 데이터
502cc05e-q2,502cc05e480b45c7b124506cf143341d,53세 남자 · 도봉구 · 육군 부사관,"주말마다 북한산 자주 오르는데, 산행 나가기 전에 우리 동네 미세먼지나 공기 상태부터 확인하고 싶은데 어디서 볼 수 있나?",일정·목록형,질문 UI 호출이 실패하네요. 텍스트로 여쭤볼게요 — 북한산 자락 중 어느 자치구(강북구/도봉구/은평구/성북구 등)에 사시나요? 구를 알려주시면 해당 지역 대기질 데이터를 조회해 드리겠습니다.,search_products → describe_product → search_products,(미표기),되물음,claude-sonnet-5,도봉구 단위 대기질 데이터 미지원 또는 제공된 자치구 정보 미활용
502cc05e-q3,502cc05e480b45c7b124506cf143341d,53세 남자 · 도봉구 · 육군 부사관,부대 복귀할 때 도봉구에서 출발하면 그 시간대에 도로가 많이 막히는지 미리 좀 알 수 있을까?,예보·미래형,"**결론부터: 이 데이터로 ""도봉구 도로""만 콕 집어 볼 수는 없습니다.**

- 서울시 도로 흐름(속도) 데이터는 자치구/도로명이 아니라 익명 도로링크 코드(link_id)로만 관리돼서, ""도봉구""로 필터링 자체가 불가능합니다. 데이터에 없는 걸 지어내지 않고 솔직히 말씀드립니다.
- 대신 서울 전체 도로 링크들의 요일 전체 평균 속도 곡선(시간대별)은 조회했습니다:

| 시간대 | 평균 속도(km/h) | 비고 |
|---|---|---|
| 07~08시 | 26~27 | 출근 혼잡 시작 |
| 16~18시 | 20~24 | **가장 느림 (18시 19.9km/h 최저)** |
| 19~20시 | 27~28 | 저녁 혼잡 다소 완화 |
| 21~23시 | 25~29 | 야간, 비교적 원활 |
| 00~06시 | 22~42(변동 큼, 표본 적음) | 새벽, 대체로 원활 |

이는 서울 전역 도로 링크를 평균낸 값이라, 도봉구 특정 구간(예: 동부간선도로, 도봉로 등)의 실제 혼잡도와는 다를 수 있습니다.

**정확히 답하려면**: 몇 시쯤 출발하시는지, 그리고 어느 요일(평일/주말)인지 알려주시면 해당 시간대 기준으로 다시 조회해볼 수 있습니다. 다만 ""도봉구""라는 지역명으로는 필터가 안 되고, 서울 전체 도로 기준 데이터만 가능하다는 점은 참고 부탁드립니다.",search_products → describe_product → search_products → preview_product → preview_product → search_products → run_pattern,(미표기),데이터없음,claude-sonnet-5,"자치구 단위 필터링 미지원, 도로링크 코드(link_id)로만 관리"
55632671-q1,556326713efb4a2cb6fecd05c90d57b0,58세 남자 · 강남구 · 조사 전문가,"요즘 탄천 따라 아침 산책하는데, 강남구 쪽 미세먼지 농도가 낮은 시간대가 언제쯤인지 알 수 있을까?",시간대·패턴형,"죄송합니다. 서울 데이터에서는 미세먼지 시간대별 정보를 제공하지 않습니다.

현재 이용 가능한 데이터는 **citydata_air_daily** (일별 대기질 추이)로, **날짜별** 평균 미세먼지만 있고 **시간대별** 데이터는 없습니다. 

대신 강남구의 최근 미세먼지 추이나 특정 날의 시간대별 변화폭(일중 최고·평균 격차) 정도만 조회할 수 있습니다. 아침 산책 계획에 도움이 될 만한 정보가 필요하신가요?",search_products → search_products → describe_product,citydata_air_daily,데이터없음,claude-haiku-4-5-20251001,시간대별 미세먼지 농도 데이터 부재
